RUN	io.gatling.js.JsSimulation	jssimulation	1730584704964	 	3.12.0
USER	Get Authorized User	START	1730584705665
USER	Get Authorized User	START	1730584705682
USER	Get Authorized User	START	1730584705791
REQUEST		get user	1730584705681	1730584705813	OK	 
REQUEST		get user	1730584705611	1730584705808	OK	 
USER	Get Authorized User	END	1730584705836
USER	Get Authorized User	END	1730584705836
USER	Get Authorized User	START	1730584705879
REQUEST		get user	1730584705787	1730584705948	OK	 
USER	Get Authorized User	END	1730584705950
USER	Get Authorized User	START	1730584705990
REQUEST		get user	1730584705878	1730584706030	OK	 
USER	Get Authorized User	END	1730584706031
USER	Get Authorized User	START	1730584706084
REQUEST		get user	1730584705988	1730584706120	OK	 
USER	Get Authorized User	END	1730584706121
USER	Get Authorized User	START	1730584706191
REQUEST		get user	1730584706081	1730584706226	OK	 
USER	Get Authorized User	END	1730584706229
USER	Get Authorized User	START	1730584706281
REQUEST		get user	1730584706189	1730584706329	OK	 
USER	Get Authorized User	END	1730584706330
USER	Get Authorized User	START	1730584706393
REQUEST		get user	1730584706280	1730584706415	OK	 
USER	Get Authorized User	END	1730584706417
USER	Get Authorized User	START	1730584706484
REQUEST		get user	1730584706390	1730584706539	OK	 
USER	Get Authorized User	END	1730584706541
USER	Get Authorized User	START	1730584706592
REQUEST		get user	1730584706483	1730584706610	OK	 
USER	Get Authorized User	END	1730584706610
USER	Get Authorized User	START	1730584706686
REQUEST		get user	1730584706591	1730584706714	OK	 
USER	Get Authorized User	END	1730584706715
USER	Get Authorized User	START	1730584706792
REQUEST		get user	1730584706683	1730584706816	OK	 
USER	Get Authorized User	END	1730584706817
USER	Get Authorized User	START	1730584706888
REQUEST		get user	1730584706792	1730584706924	OK	 
USER	Get Authorized User	END	1730584706925
USER	Get Authorized User	START	1730584706980
REQUEST		get user	1730584706887	1730584707042	OK	 
USER	Get Authorized User	END	1730584707042
USER	Get Authorized User	START	1730584707088
REQUEST		get user	1730584706978	1730584707103	OK	 
USER	Get Authorized User	END	1730584707104
USER	Get Authorized User	START	1730584707183
REQUEST		get user	1730584707085	1730584707220	OK	 
USER	Get Authorized User	END	1730584707221
USER	Get Authorized User	START	1730584707292
REQUEST		get user	1730584707181	1730584707313	OK	 
USER	Get Authorized User	END	1730584707315
USER	Get Authorized User	START	1730584707383
REQUEST		get user	1730584707290	1730584707427	OK	 
USER	Get Authorized User	END	1730584707429
USER	Get Authorized User	START	1730584707492
REQUEST		get user	1730584707382	1730584707515	OK	 
USER	Get Authorized User	END	1730584707516
USER	Get Authorized User	START	1730584707586
REQUEST		get user	1730584707490	1730584707654	OK	 
USER	Get Authorized User	END	1730584707655
USER	Get Authorized User	START	1730584707676
REQUEST		get user	1730584707583	1730584707713	OK	 
USER	Get Authorized User	END	1730584707714
USER	Get Authorized User	START	1730584707786
REQUEST		get user	1730584707676	1730584707807	OK	 
USER	Get Authorized User	END	1730584707808
USER	Get Authorized User	START	1730584707880
REQUEST		get user	1730584707785	1730584707907	OK	 
USER	Get Authorized User	END	1730584707907
USER	Get Authorized User	START	1730584707986
REQUEST		get user	1730584707878	1730584708002	OK	 
USER	Get Authorized User	END	1730584708003
USER	Get Authorized User	START	1730584708079
REQUEST		get user	1730584707985	1730584708116	OK	 
USER	Get Authorized User	END	1730584708117
USER	Get Authorized User	START	1730584708187
REQUEST		get user	1730584708078	1730584708224	OK	 
USER	Get Authorized User	END	1730584708226
USER	Get Authorized User	START	1730584708280
REQUEST		get user	1730584708186	1730584708310	OK	 
USER	Get Authorized User	END	1730584708310
USER	Get Authorized User	START	1730584708387
REQUEST		get user	1730584708278	1730584708403	OK	 
USER	Get Authorized User	END	1730584708405
USER	Get Authorized User	START	1730584708480
REQUEST		get user	1730584708386	1730584708519	OK	 
USER	Get Authorized User	END	1730584708521
USER	Get Authorized User	START	1730584708588
REQUEST		get user	1730584708478	1730584708612	OK	 
USER	Get Authorized User	END	1730584708614
USER	Get Authorized User	START	1730584708681
REQUEST		get user	1730584708587	1730584708714	OK	 
USER	Get Authorized User	END	1730584708716
USER	Get Authorized User	START	1730584708773
REQUEST		get user	1730584708679	1730584708811	OK	 
USER	Get Authorized User	END	1730584708813
USER	Get Authorized User	START	1730584708880
REQUEST		get user	1730584708772	1730584708896	OK	 
USER	Get Authorized User	END	1730584708898
USER	Get Authorized User	START	1730584708987
REQUEST		get user	1730584708878	1730584709006	OK	 
USER	Get Authorized User	END	1730584709007
USER	Get Authorized User	START	1730584709081
REQUEST		get user	1730584708986	1730584709109	OK	 
USER	Get Authorized User	END	1730584709110
USER	Get Authorized User	START	1730584709174
REQUEST		get user	1730584709080	1730584709208	OK	 
USER	Get Authorized User	END	1730584709209
USER	Get Authorized User	START	1730584709283
REQUEST		get user	1730584709173	1730584709329	OK	 
USER	Get Authorized User	END	1730584709331
USER	Get Authorized User	START	1730584709375
REQUEST		get user	1730584709282	1730584709413	OK	 
USER	Get Authorized User	END	1730584709415
USER	Get Authorized User	START	1730584709481
REQUEST		get user	1730584709374	1730584709519	OK	 
USER	Get Authorized User	END	1730584709521
USER	Get Authorized User	START	1730584709575
REQUEST		get user	1730584709481	1730584709602	OK	 
USER	Get Authorized User	END	1730584709603
USER	Get Authorized User	START	1730584709682
REQUEST		get user	1730584709574	1730584709707	OK	 
USER	Get Authorized User	END	1730584709708
USER	Get Authorized User	START	1730584709775
REQUEST		get user	1730584709682	1730584709799	OK	 
USER	Get Authorized User	END	1730584709800
USER	Get Authorized User	START	1730584709880
REQUEST		get user	1730584709773	1730584709902	OK	 
USER	Get Authorized User	END	1730584709903
USER	Get Authorized User	START	1730584709973
REQUEST		get user	1730584709880	1730584710006	OK	 
USER	Get Authorized User	END	1730584710007
USER	Get Authorized User	START	1730584710083
REQUEST		get user	1730584709973	1730584710100	OK	 
USER	Get Authorized User	END	1730584710101
USER	Get Authorized User	START	1730584710176
REQUEST		get user	1730584710082	1730584710207	OK	 
USER	Get Authorized User	END	1730584710209
USER	Get Authorized User	START	1730584710285
REQUEST		get user	1730584710176	1730584710309	OK	 
USER	Get Authorized User	END	1730584710311
USER	Get Authorized User	START	1730584710378
REQUEST		get user	1730584710284	1730584710427	OK	 
USER	Get Authorized User	END	1730584710428
USER	Get Authorized User	START	1730584710484
REQUEST		get user	1730584710377	1730584710500	OK	 
USER	Get Authorized User	END	1730584710501
USER	Get Authorized User	START	1730584710576
REQUEST		get user	1730584710483	1730584710625	OK	 
USER	Get Authorized User	END	1730584710627
USER	Get Authorized User	START	1730584710684
REQUEST		get user	1730584710575	1730584710708	OK	 
USER	Get Authorized User	END	1730584710709
USER	Get Authorized User	START	1730584710779
REQUEST		get user	1730584710683	1730584710813	OK	 
USER	Get Authorized User	END	1730584710815
USER	Get Authorized User	START	1730584710887
REQUEST		get user	1730584710778	1730584710931	OK	 
USER	Get Authorized User	END	1730584710931
USER	Get Authorized User	START	1730584710979
REQUEST		get user	1730584710886	1730584711034	OK	 
USER	Get Authorized User	END	1730584711036
USER	Get Authorized User	START	1730584711074
REQUEST		get user	1730584710978	1730584711117	OK	 
USER	Get Authorized User	END	1730584711118
USER	Get Authorized User	START	1730584711183
REQUEST		get user	1730584711073	1730584711203	OK	 
USER	Get Authorized User	END	1730584711204
USER	Get Authorized User	START	1730584711277
REQUEST		get user	1730584711182	1730584711308	OK	 
USER	Get Authorized User	END	1730584711310
USER	Get Authorized User	START	1730584711385
REQUEST		get user	1730584711276	1730584711407	OK	 
USER	Get Authorized User	END	1730584711409
USER	Get Authorized User	START	1730584711476
REQUEST		get user	1730584711383	1730584711511	OK	 
USER	Get Authorized User	END	1730584711512
USER	Get Authorized User	START	1730584711585
REQUEST		get user	1730584711475	1730584711632	OK	 
USER	Get Authorized User	END	1730584711633
USER	Get Authorized User	START	1730584711676
REQUEST		get user	1730584711583	1730584711704	OK	 
USER	Get Authorized User	END	1730584711705
USER	Get Authorized User	START	1730584711786
REQUEST		get user	1730584711675	1730584711795	OK	 
USER	Get Authorized User	END	1730584711797
USER	Get Authorized User	START	1730584711878
REQUEST		get user	1730584711784	1730584711931	OK	 
USER	Get Authorized User	END	1730584711933
USER	Get Authorized User	START	1730584711988
REQUEST		get user	1730584711877	1730584712018	OK	 
USER	Get Authorized User	END	1730584712020
USER	Get Authorized User	START	1730584712079
REQUEST		get user	1730584711987	1730584712115	OK	 
USER	Get Authorized User	END	1730584712117
USER	Get Authorized User	START	1730584712188
REQUEST		get user	1730584712078	1730584712200	OK	 
USER	Get Authorized User	END	1730584712201
USER	Get Authorized User	START	1730584712282
REQUEST		get user	1730584712187	1730584712318	OK	 
USER	Get Authorized User	END	1730584712320
USER	Get Authorized User	START	1730584712391
REQUEST		get user	1730584712281	1730584712413	OK	 
USER	Get Authorized User	END	1730584712413
USER	Get Authorized User	START	1730584712482
REQUEST		get user	1730584712390	1730584712511	OK	 
USER	Get Authorized User	END	1730584712512
USER	Get Authorized User	START	1730584712578
REQUEST		get user	1730584712482	1730584712600	OK	 
USER	Get Authorized User	END	1730584712600
USER	Get Authorized User	START	1730584712684
REQUEST		get user	1730584712576	1730584712722	OK	 
USER	Get Authorized User	END	1730584712724
USER	Get Authorized User	START	1730584712778
REQUEST		get user	1730584712682	1730584712812	OK	 
USER	Get Authorized User	END	1730584712814
USER	Get Authorized User	START	1730584712888
REQUEST		get user	1730584712776	1730584712925	OK	 
USER	Get Authorized User	END	1730584712927
USER	Get Authorized User	START	1730584712981
REQUEST		get user	1730584712887	1730584713055	OK	 
USER	Get Authorized User	END	1730584713057
USER	Get Authorized User	START	1730584713088
REQUEST		get user	1730584712979	1730584713101	OK	 
USER	Get Authorized User	END	1730584713103
USER	Get Authorized User	START	1730584713181
REQUEST		get user	1730584713087	1730584713214	OK	 
USER	Get Authorized User	END	1730584713216
USER	Get Authorized User	START	1730584713288
REQUEST		get user	1730584713180	1730584713303	OK	 
USER	Get Authorized User	END	1730584713305
USER	Get Authorized User	START	1730584713381
REQUEST		get user	1730584713287	1730584713416	OK	 
USER	Get Authorized User	END	1730584713418
USER	Get Authorized User	START	1730584713488
REQUEST		get user	1730584713380	1730584713505	OK	 
