timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730590806082,167,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-400,text,true,,1207,191,5,9,https://api.clickup.com/api/v2/user,157,0,46
1730590806098,151,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-399,text,true,,1208,191,5,9,https://api.clickup.com/api/v2/user,141,0,46
1730590806147,132,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-398,text,true,,1208,191,5,9,https://api.clickup.com/api/v2/user,132,0,44
1730590806198,130,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-397,text,true,,1208,191,6,11,https://api.clickup.com/api/v2/user,130,0,45
1730590806247,133,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-396,text,true,,1208,191,7,12,https://api.clickup.com/api/v2/user,133,0,43
1730590806254,148,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-400,text,true,,1208,191,8,14,https://api.clickup.com/api/v2/user,148,0,51
1730590806254,154,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-399,text,true,,1208,191,8,14,https://api.clickup.com/api/v2/user,154,0,47
1730590806280,134,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-398,text,true,,1208,191,8,14,https://api.clickup.com/api/v2/user,134,0,45
1730590806300,125,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-395,text,true,,1208,191,8,14,https://api.clickup.com/api/v2/user,125,0,43
1730590806329,143,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-397,text,true,,1207,191,9,15,https://api.clickup.com/api/v2/user,143,0,51
1730590806347,165,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-394,text,true,,1207,191,10,17,https://api.clickup.com/api/v2/user,165,0,59
1730590806396,154,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-393,text,true,,1207,191,11,18,https://api.clickup.com/api/v2/user,154,0,41
1730590806409,141,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-399,text,true,,1208,191,11,18,https://api.clickup.com/api/v2/user,141,0,39
1730590806403,147,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-400,text,true,,1208,191,11,18,https://api.clickup.com/api/v2/user,147,0,42
1730590806381,170,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-396,text,true,,1208,191,11,18,https://api.clickup.com/api/v2/user,170,0,46
1730590806426,191,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-395,text,true,,1208,191,12,20,https://api.clickup.com/api/v2/user,191,0,49
1730590806446,170,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-392,text,true,,1208,191,12,20,https://api.clickup.com/api/v2/user,170,0,71
1730590806415,200,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-398,text,true,,1208,191,12,20,https://api.clickup.com/api/v2/user,200,0,41
1730590806473,186,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-397,text,true,,1208,191,13,21,https://api.clickup.com/api/v2/user,186,0,82
1730590806497,163,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-391,text,true,,1207,191,13,21,https://api.clickup.com/api/v2/user,163,0,78
1730590806513,160,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-394,text,true,,1208,191,13,21,https://api.clickup.com/api/v2/user,160,0,62
1730590806546,161,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-390,text,true,,1208,191,14,23,https://api.clickup.com/api/v2/user,161,0,41
1730590806552,157,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-399,text,true,,1208,191,14,23,https://api.clickup.com/api/v2/user,157,0,68
1730590806552,157,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-396,text,true,,1208,191,14,23,https://api.clickup.com/api/v2/user,157,0,71
1730590806551,161,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-393,text,true,,1207,191,14,23,https://api.clickup.com/api/v2/user,161,0,69
1730590806597,144,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-389,text,true,,1208,191,14,23,https://api.clickup.com/api/v2/user,144,0,47
1730590806619,126,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-392,text,true,,1208,191,14,23,https://api.clickup.com/api/v2/user,126,0,43
1730590806552,219,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-400,text,true,,1208,191,15,24,https://api.clickup.com/api/v2/user,219,0,68
1730590806620,159,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-398,text,true,,1208,191,15,24,https://api.clickup.com/api/v2/user,159,0,42
1730590806660,138,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-391,text,true,,1208,191,16,26,https://api.clickup.com/api/v2/user,137,0,52
1730590806648,152,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-388,text,true,,1208,191,16,26,https://api.clickup.com/api/v2/user,152,0,64
1730590806618,185,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-395,text,true,,1207,191,16,26,https://api.clickup.com/api/v2/user,185,0,44
1730590806674,169,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-394,text,true,,1208,191,16,26,https://api.clickup.com/api/v2/user,169,0,60
1730590806699,144,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-387,text,true,,1208,191,16,26,https://api.clickup.com/api/v2/user,144,0,47
1730590806709,135,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-396,text,true,,1208,191,16,26,https://api.clickup.com/api/v2/user,135,0,43
1730590806712,139,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-393,text,true,,1208,191,17,27,https://api.clickup.com/api/v2/user,139,0,42
1730590806709,142,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-399,text,true,,1208,191,17,27,https://api.clickup.com/api/v2/user,142,0,44
1730590806660,203,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-397,text,true,,1208,191,17,27,https://api.clickup.com/api/v2/user,203,0,52
1730590806742,128,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-389,text,true,,1208,191,17,27,https://api.clickup.com/api/v2/user,128,0,40
1730590806771,125,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-400,text,true,,1208,191,17,28,https://api.clickup.com/api/v2/user,125,0,42
1730590806709,187,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-390,text,true,,1208,191,17,28,https://api.clickup.com/api/v2/user,187,0,41
1730590806748,152,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-386,text,true,,1208,191,18,29,https://api.clickup.com/api/v2/user,152,0,40
